"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","27-Dec-2018","        644.05","        652.75","        663.25","        649.00","        656.35","        656.80","        658.16","   15333902","         10092126950.95","     182988","    7084546","         46.20"
"INFY","EQ","28-Dec-2018","        656.80","        663.35","        663.50","        653.30","        656.10","        656.95","        658.29","    4736598","          3118076701.95","     105527","    2225579","         46.99"
"INFY","EQ","31-Dec-2018","        656.95","        660.00","        662.00","        655.80","        659.60","        658.95","        659.27","    3373319","          2223919550.25","      65442","    1517551","         44.99"
"INFY","EQ","01-Jan-2019","        658.95","        660.95","        666.30","        654.15","        665.95","        665.05","        660.66","    2943390","          1944579422.55","      45422","    1282161","         43.56"
"INFY","EQ","02-Jan-2019","        665.05","        666.00","        674.00","        662.05","        668.00","        669.05","        669.97","    7416655","          4968962632.60","     108094","    3880800","         52.33"
"INFY","EQ","03-Jan-2019","        669.05","        672.00","        677.00","        663.10","        668.00","        669.15","        669.66","    6827249","          4571929258.25","     125781","    3676359","         53.85"
"INFY","EQ","04-Jan-2019","        669.15","        671.75","        673.90","        651.00","        660.25","        661.05","        660.17","    7889310","          5208304588.70","     187590","    3747741","         47.50"
"INFY","EQ","07-Jan-2019","        661.05","        665.00","        673.60","        661.50","        671.70","        671.70","        667.51","    8046340","          5370973786.60","     132736","    4711672","         58.56"
"INFY","EQ","08-Jan-2019","        671.70","        674.95","        677.45","        668.55","        670.00","        670.05","        672.86","    8621545","          5801122719.75","     134369","    5652959","         65.57"
"INFY","EQ","09-Jan-2019","        670.05","        686.20","        689.80","        664.00","        675.60","        676.10","        678.41","   18130292","         12299738074.80","     314702","    8029281","         44.29"
"INFY","EQ","10-Jan-2019","        676.10","        681.60","        682.00","        672.55","        680.80","        679.70","        677.63","    9572493","          6486610275.85","     141449","    6064060","         63.35"
